| #  | Variable   | Description                                               | Chunk Header                                | Notes / Changes                  |
|----|------------|----------------------------------------------------------|---------------------------------------------|----------------------------------|
| 1  | V100       | Start year (project begins)                              | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 2  | V101       | Completion year (project ends)                           | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 3  | V100       | Start year (project begins)                              | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 4  | V101       | Completion year (project ends)                           | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 5  | V100       | Start year (project begins)                              | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 6  | V101       | Completion year (project ends)                           | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 7  | V100       | Start year (project begins)                              | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 8  | V101       | Completion year (project ends)                           | q1-correlation-v100-v101                    | Description added from Rmd chunk |
| 9  | V104       | Actual Sales Price (r = 0.613)                           | q1-correlation-start-completion-with-output | Description added from Rmd chunk |
| 10 | V105       | Actual Construction Cost (r = 0.769)                     | q1-correlation-start-completion-with-output | Description added from Rmd chunk |
| 11 | V104       | Actual Sales Price (r = 0.613)                           | q1-correlation-start-completion-with-output | Description added from Rmd chunk |
| 12 | V105       | Actual Construction Cost (r = 0.769)                     | q1-correlation-start-completion-with-output | Description added from Rmd chunk |
| 13 | V104       | Actual Sales Price (r = 0.607)                           | q1-correlation-v104.v5-v8                   | —                                |
| 14 | V5         | Preliminary estimated construction cost (r = 0.785)      | q1-correlation-v104.v5-v8                   | Description added from Rmd chunk |
| 15 | V8         | Initial unit price (r = 0.976)                           | q1-correlation-v104.v5-v8                   | Description added from Rmd chunk |
| 16 | V104       | Actual Sales Price (r = 0.607)                           | q1-correlation-v104.v5-v8                   | —                                |
| 17 | V8         | Initial unit price (r = 0.976)                           | q1-correlation-v104.v5-v8                   | Description added from Rmd chunk |
| 18 | V5         | Preliminary estimated construction cost (r = 0.785)      | q1-correlation-v104.v5-v8                   | Description added from Rmd chunk |
| 19 | V8         | Initial unit price (r = 0.976)                           | q1-correlation-v104.v5-v8                   | Description added from Rmd chunk |
| 20 | V105       | Actual Construction Cost (r = 0.753)                     | q1-correlation-v105.v4-v5                   | —                                |
| 21 | V4         | Total preliminary estimated construction cost (r = 0.602)| q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 22 | V5         | Preliminary estimated construction cost (r = 0.963)      | q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 23 | V105       | Actual Construction Cost (r = 0.753)                     | q1-correlation-v105.v4-v5                   | —                                |
| 24 | V5         | Preliminary estimated construction cost (r = 0.963)      | q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 25 | V5         | Preliminary estimated construction cost (r = 0.963)      | q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 26 | V4         | Total preliminary estimated construction cost (r = 0.602)| q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 27 | V5         | Preliminary estimated construction cost (r = 0.963)      | q1-correlation-v105.v4-v5                   | Description added from Rmd chunk |
| 28 | V104       | Actual Sales Price (r = 0.607)                           | q1-correlation-v104-v5-v8                   | —                                |
| 29 | V8         | Initial unit price (r = 0.976), and                      | q1-correlation-v104-v5-v8                   | Description added from Rmd chunk |
| 30 | V5         | Preliminary estimated construction cost (r = 0.785).     | q1-correlation-v104-v5-v8                   | Description added from Rmd chunk |
| 31 | V8         | Initial unit price (r = 0.976), and                      | q1-correlation-v104-v5-v8                   | Description added from Rmd chunk |
| 32 | V5         | Preliminary estimated construction cost (r = 0.785).     | q1-correlation-v104-v5-v8                   | Description added from Rmd chunk |
| 33 | V105       | Actual Construction Cost (r = 0.753)                     | q1-correlation-v105-v4-v5                   | —                                |
| 34 | V4         | Total preliminary estimated construction cost (r = 0.602)| q1-correlation-v105-v4-v5                   | Description added from Rmd chunk |
| 35 | V5         | Preliminary estimated construction cost (r = 0.963)      | q1-correlation-v105-v4-v5                   | Description added from Rmd chunk |
